UniqueCount	AmbigCount
0	537354
0	172669
0	3895394
0	16368
0	321098
0	13132207
0	407
0	113
0	190
0	5020
0	82
0	229
0	0
0	1068
0	632
0	0
0	11
0	2708
0	235
0	10455
0	239
0	7653
0	5955
0	77
0	774
0	689
0	4189
0	1685
0	452
0	279
0	333
0	198
0	1347
0	16
0	17
0	10402
0	1364
0	1668
0	170
0	561
0	0
0	588
0	3017
0	0
0	547
0	12813
0	3084
0	703
0	554
0	1632
0	4100
0	0
0	751
0	42
0	519
0	3
0	1131
0	0
0	239
0	1006
0	1185
0	3
0	14
0	0
0	2538
0	94
0	18
0	0
0	615
0	59
0	82
0	35993
0	598
0	2214
0	3
0	171
0	0
0	105
0	32
0	137
0	0
0	411
0	500
0	26363
0	792
0	535
0	562
0	683
0	1669
0	24155
0	384
0	1396
0	392
0	2901
0	73
0	81
0	5851
0	3412
0	20
0	1022
0	0
0	248
0	172
0	1411
0	339
0	0
0	384
0	0
0	29
0	260
0	236
0	354
0	95
0	68023
0	55
0	513
0	117
0	87
0	458
0	2
0	0
0	77
0	2267
0	491
0	6069
0	2197
0	0
0	18
0	18125
0	1090
0	5
0	0
0	16
0	424
0	10
0	50280
0	49
0	6
0	0
0	160
0	174
0	180
0	8195
0	83
0	0
0	252
0	52
0	83
0	409
0	0
0	859
0	17
0	79
0	61
0	1558
0	294
0	40
0	34
0	281
0	0
0	767
0	1183
0	727
0	6
0	259
0	8
0	4708
0	173
0	194
0	0
0	984
0	11
0	189
0	1827
0	68
0	255
0	538
0	580
0	332
0	0
0	449
0	0
0	12789
0	2105
0	1642
0	123
0	0
0	2051
0	267
0	281
0	306
0	0
0	837
0	1315
0	113
0	1
0	123
0	232
0	1165
0	6
0	181
0	0
0	153
0	0
0	7
0	10763
0	0
0	96
0	227
0	1
0	0
0	128
0	152
0	394
0	212
0	5931
0	33206
0	373
0	312
0	1
0	54
0	793
0	1
0	1
0	347
0	35804
0	0
0	575
0	0
0	1172
0	659
0	17
0	904
0	257
0	0
0	77
0	1100
0	335
0	68
0	459
0	137
0	968
0	122
0	3
0	3
0	1070
0	720
0	5
0	673
0	562
0	339
0	854
0	10
0	0
0	0
0	110
0	210
0	118
0	539
0	421
0	0
0	424
0	296
0	3200
0	306
0	2
0	485
0	511
0	955
0	16
0	11
0	543
0	652
0	985
0	9
0	258
0	314
0	475
0	433
0	512
0	1430
0	3784
0	1747
0	16320
0	80
0	0
0	0
0	300
0	80
0	50
0	5192
0	2168
0	15
0	9781
0	1638
0	0
0	2489
0	1382
0	0
0	39
0	786
0	10
0	198
0	269
0	741
0	34
0	2152
0	451
0	92
0	0
0	1160
0	149
0	145
0	2657
0	159
0	2157
0	681
0	268
0	14
0	0
0	11
0	2177
0	0
0	2
0	1022
0	6594
0	1609
0	147
0	1832
0	925
0	336
0	8
0	1717
0	275
0	32056
0	267
0	0
0	0
0	410
0	230
0	326
0	339
0	22
0	62
0	1458
0	0
0	122
0	692
0	5511
0	100
0	336
0	1352
0	2
0	181
0	41
0	129
0	2030
0	953
0	10
0	129
0	394
0	532
0	655
0	513
0	106
0	1398
0	1
0	47
0	342
0	1058
0	0
0	0
0	658
0	22
0	1508
0	69
0	9143
0	1787
0	33685
0	253572
0	414
0	2
0	373
0	1970
0	171
0	1492
0	19
0	195
0	371
0	548
0	0
0	2939
0	0
0	55
0	1162
0	67
0	0
0	19
0	590
0	33
0	6797
0	268
0	6829
0	71
0	0
0	111
0	1579
0	570
0	170
0	505
0	1931
0	182
0	0
0	0
0	46
0	330
0	0
0	3
0	4
0	19
0	14
0	5148
0	139
0	533
0	1343
0	551
0	0
0	880
0	15
0	0
0	192
0	7822
0	209
0	2088
0	2620
0	600
0	3
0	4525
0	35
0	147
0	157
0	757
0	44
0	3
0	125
0	21720
0	31
0	229
0	1728
0	921
0	6371
0	41
0	1149
0	7
0	3466
0	284
0	1
0	32
0	18
0	9861
0	5
0	501
0	0
0	817
0	2
0	11
0	706
0	16876
0	1
0	2771
0	0
0	0
0	533
0	2280
0	33051
0	2455
0	0
0	91
0	823
0	86
0	2550
0	0
0	563
0	18
0	1651
0	0
0	0
0	100
0	84
0	338
0	205
0	113
0	288
0	173
0	313
0	356
0	3351
0	7
0	799
0	66
0	447
0	294
0	0
0	0
0	863
0	1
0	280
0	516
0	2
0	18
0	1113
0	0
0	1130
0	411
0	474
0	946
0	1172
0	0
0	386
0	27
0	450
0	275
0	325
0	1724
0	351
0	0
0	503
0	3784
0	119
0	3832
0	52
0	427
0	519
0	750
0	206
0	5206
0	3758
0	855
0	577
0	80
0	90
0	1204
0	1176
0	70
0	17900
0	0
0	36
0	0
0	1369
0	89
0	71
0	608
0	457
0	0
0	1209
0	24
0	350
0	1143
0	3
0	0
0	12
0	148675
0	0
0	664
0	2
0	938
0	17
0	75
0	385
0	1
0	2694
0	11
0	3428
0	551
0	5
0	2
0	580
0	61
0	2354
0	972
0	898
0	27404
0	175
0	0
0	0
0	608
0	828
0	310
0	463
0	90490
0	304
0	3427
0	269
0	564
0	294
0	130
0	193
0	282
0	296
0	17484
0	398
0	534
0	116
0	164
0	242
0	436
0	254
0	0
0	371
0	19
0	0
0	732
0	31
0	0
0	23
0	260
0	2524
0	0
0	55
0	0
0	219
0	1152
0	0
0	686
0	64
0	3287
0	1474
0	111
0	424
0	915
0	20
0	22
0	60
0	61
0	2
0	0
0	127
0	20
0	1522
0	1
0	381
0	235
0	477
0	20
0	756
0	62
0	71
0	66
0	2357
0	151
0	305
0	915
0	64
0	5
0	55
0	558
0	2023
0	1100
0	413
0	10
0	5177
0	656
0	2358
0	10
0	477
0	2220
0	340
0	12645
0	0
0	3073
0	26009
0	21
0	58
0	0
0	595
0	10
0	288
0	8
0	235
0	86
0	417
0	3073
0	1095
0	14
0	1521
0	999
0	0
0	0
0	115
0	14
0	286
0	0
0	7
0	377
0	265
0	162
0	1286
0	357
0	5931
0	712
0	2667
0	253
0	659
0	2952
0	1024
0	166
0	374
0	1232
0	40
0	2541
0	538
0	958
0	340
0	13
0	3
0	12
0	0
0	1760
0	930
0	6
0	1956
0	992
0	44355
0	108
0	110
0	353
0	112
0	0
0	1
0	322
0	848
0	26
0	1401
0	10
0	393
0	1439
0	17
0	155
0	373
0	17
0	2170
0	8049
0	0
0	1753
0	4
0	621
0	11
0	8
0	85
0	413
0	127
0	211
0	142
0	0
0	0
0	13
0	414
0	138
0	5935
0	270
0	1
0	359
0	310
0	775
0	45
0	36
0	199
0	694
0	390
0	0
0	0
0	12
0	352
0	202
0	855
0	545
0	2104
0	2776
0	0
0	107
0	1533
0	2919
0	145
0	216
0	0
0	2105
0	0
0	130
0	562
0	9478
0	125
0	1014
0	4235
0	10
0	2108
0	688
0	41
0	884
0	25
0	184
0	852
0	283
0	113
0	638
0	229
0	235
0	8568
0	0
0	351
0	565
0	861
0	2884
0	3061
0	117
0	319
0	467
0	0
0	137
0	1180
0	2156
0	1722
0	156
0	2921
0	2832
0	419
0	163
0	190
0	568
0	6053
0	23
0	93
0	0
0	1
0	10
0	4853
0	2998
0	2632
0	617
0	2
0	1233
0	12922
0	1156
0	697
0	34101
0	195
0	2
0	0
0	156
0	0
0	80
0	820
0	0
0	99
0	784
0	394
0	23
0	0
0	22015
0	1
0	7
0	0
0	84
0	588
0	1407
0	8
0	15109
0	14
0	11429
0	1903
0	39
0	326
0	324
0	13
0	315
0	87
0	1226
0	159
0	172
0	3895
0	184
0	2789
0	5
0	1039
0	112
0	74
0	669
0	0
0	194
0	86
0	1519
0	334
0	0
0	1162
0	241
0	17
0	765
0	397
0	518
0	887
0	978
0	69
0	104
0	14238
0	1775
0	30
0	8
0	83
0	288
0	911
0	297
0	3222
0	0
0	9
0	4
0	54036
0	376
0	875
0	58
0	1456
0	2779
0	248
0	1285
0	631
0	164
0	162
0	41
0	306
0	2
0	3
0	563
0	13
0	149
0	1728
0	313
0	649
0	2258
0	20
0	28082
0	1333
0	0
0	2206
0	793
0	157
0	119
0	1
0	0
0	8722
0	18307
0	189
0	584
0	3457
0	0
0	1272
0	374
0	34
0	181
0	1
0	319
0	1176
0	2
0	225
0	2933
0	1
0	4
0	377
0	0
0	2
0	23
0	831
0	0
0	9039
0	331
0	90
0	267
0	86
0	34
0	2056
0	69
0	0
0	0
0	35
0	593
0	173
0	1667
0	115
0	373
0	542
0	7608
0	17
0	10
0	0
0	17044
0	1191
0	1348
0	709
0	111
0	174
0	2067
0	0
0	15063
0	772
0	16947
0	0
0	1289
0	3
0	19
0	6086
0	5
0	12
0	3762
0	0
0	542
0	2119
0	151
0	336
0	519
0	22
0	1295
0	1363
0	1259
0	188
0	676
0	44
0	19
0	91268
0	140
0	206
0	6404
0	8582
0	0
0	8022
0	174
0	58
0	160
0	2
0	3
0	0
0	382
0	460
0	8665
0	0
0	1144
0	691
0	17
0	288
0	1042
0	488
0	54
0	160
0	65
0	154
0	4
0	34
0	289
0	0
0	94
0	100
0	86
0	4973
0	558
0	4695
0	141
0	144845
0	2587
0	97
0	82
0	232
0	935
0	428
0	0
0	554
0	143
0	530
0	301
0	549
0	526
0	25
0	0
0	524
0	86
0	19
0	179
0	7720
0	121
0	9
0	3
0	1631
0	5805
0	7905
0	57
0	5
0	0
0	0
0	1
0	403
0	262
0	493
0	477
0	0
0	625
0	4
0	0
0	12795
0	361
0	316
0	580
0	720
0	3877
0	182
0	40679
0	1
0	2
0	6809
0	1209
0	16779
0	6
0	508
0	3145
0	1
0	411
0	3767
0	29
0	1
0	819
0	1290
0	6665
0	0
0	1499
0	26
0	0
0	19
0	221
0	560
0	237
0	220
0	505
0	1523
0	4292
0	350
0	1529
0	0
0	2948
0	5
0	1852
0	342
0	5
0	1659
0	317
0	1036
0	2
0	5106
0	1168
0	101
0	16
0	1179
0	1
0	0
0	432
0	970
0	52
0	17218
0	381
0	296
0	938
0	918
0	670
0	755
0	503
0	19
0	795
0	706
0	832
0	185
0	14688
0	176
0	1364
0	205
0	16087
0	124
0	6759
0	124
0	111
0	520
0	2
0	217
0	0
0	389
0	856
0	4858
0	604
0	6
0	2
0	136210
0	22
0	141
0	35
0	43
0	47
0	91
0	62
0	418
0	6
0	1029
0	60
0	1904
0	0
0	3516
0	198
0	1426
0	2
0	470
0	25573
0	127
0	178
0	146
0	2935
0	502
0	135
0	95
0	846
0	659
0	433
0	103
0	4619
0	2
0	1202
0	127
0	168
0	1037
0	5325
0	7342
0	38
0	21802
0	42469
0	0
0	5687
0	17
0	22
0	19
0	0
0	1899
0	2981
0	763
0	0
0	1050
0	11997
0	3057
0	54
0	1526
0	1003
0	4
0	797
0	12
0	0
0	80
0	854
0	0
0	647
0	2662
0	3750
0	0
0	4852
0	1641
0	9
0	2073
0	0
0	676
0	0
0	1000
0	152
0	2377
0	71
0	857
0	9940
0	755
0	1936
0	981
0	0
0	5
0	11265
0	1733
0	41
0	25
0	10
0	91
0	3317
0	920
0	246
0	245
0	89
0	131
0	24
0	1445
0	4
0	215
0	1908
0	2
0	396
0	1598
0	348
0	264
0	2593
0	2882
0	1033
0	9
0	224
0	63
0	1900
0	1968
0	386
0	933
0	3237
0	180
0	240
0	169
0	68
0	1122
0	5930
0	143
0	161
0	131
0	408
0	2752
0	203
0	102
0	2831
0	981
0	8
0	2288
0	126
0	902
0	115
0	293
0	4
0	1354
0	375
0	327
0	0
0	479
0	7271
0	375
0	600
0	3727
0	11
0	42
0	121
0	894
0	308
0	42634
0	206
0	793
0	2676
0	391
0	2021
0	73
0	1668
0	9249
0	520
0	27491
0	1272
0	267
0	573
0	2837
0	14
0	460
0	10
0	20
0	12
0	0
0	425
0	92
0	27062
0	4330
0	114
0	499
0	4592
0	263
0	318
0	2067
0	106
0	0
0	63
0	10508
0	3968
0	754
0	5
0	11908
0	0
0	172
0	33
0	7794
0	31
0	461
0	19
0	1
0	35
0	1128
0	10
0	271
0	379
0	730
0	3
0	0
0	9
0	1547
0	540
0	103
0	3
0	0
0	1323
0	928
0	9
0	1092
0	0
0	271
0	65
0	863
0	12
0	1715
0	487
0	364
0	140
0	42
0	757
0	509
0	2
0	499
0	0
0	148
0	555
0	16
0	3118
0	497
0	543
0	249
0	393
0	7
0	52
0	998
0	562
0	198
0	763
0	559
0	1090
0	967
0	255
0	5
0	16
0	3117
0	90
0	329
0	1095
0	1195
0	40120
0	634
0	2
0	469
0	3162
0	4004
0	784
0	1201
0	176
0	0
0	71
0	606
0	2515
0	21
0	0
0	99
0	559
0	992
0	14159
0	0
0	0
0	183
0	12
0	2
0	8
0	6
0	714
0	816
0	447
0	242
0	5200
0	0
0	265
0	873
0	111
0	405
0	0
0	0
0	567
0	72
0	4052
0	552
0	206
0	338
0	3
0	280
0	5
0	2597
0	1
0	1111
0	0
0	219
0	6
0	33
0	67261
0	212
0	449
0	68
0	8900
0	2
0	253588
0	87
0	70
0	297
0	606
0	1627
0	107
0	904
0	328
0	241
0	777
0	3280
0	176
0	6140
0	384
0	911
0	557
0	38
0	0
0	0
0	958
0	1775
0	10
0	11815
0	369
0	565
0	800
0	0
0	70
0	15724
0	12173
0	2409
0	278
0	638
0	683
0	204
0	10
0	837
0	3633
0	20
0	0
0	776
0	16
0	2681
0	7189
0	187
0	7111
0	6
0	358
0	132
0	19
0	334
0	1406
0	1410
0	0
0	1503
0	0
0	3725
0	1284
0	0
0	5
0	66
0	2059
0	9120
0	336
0	720
0	15
0	3085
0	364
0	1250
0	0
0	17
0	0
